Référence,Intitulé,Rubrique,Chapitre,Intitulé chapitre,Intitulé rubrique
J 3 05.07,Règlement fixant les tarifs des prestations fournies par les établissements publics médicaux dans le domaine des soins non aigus (régime sans convention) (RTSNA),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.08,Règlement fixant la valeur du point TARMED pour les prestations médicales ambulatoires à charge de l'assurance obligatoire des soins (RTarmed),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.09,Règlement fixant les tarifs des prestations fournies par les cliniques genevoises de Joli-Mont et de Montana dans le domaine des soins non aigus (régime sans convention) (RTJMM),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.10,"Règlement fixant les tarifs provisoires des prestations de soins de réadaptation stationnaire fournies par les Hôpitaux universitaires de Genève, en l'absence de convention tarifaire (RTPSRS-HUG)",J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.11,Règlement fixant le tarif des prestations fournies par les maisons de naissance dans le domaine des soins somatiques aigus pour l'année 2013 (régime sans convention) (RTMN-2013),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.12,Règlement fixant les forfaits journaliers des hospitalisations de jour aux Hôpitaux universitaires de Genève pour les personnes non domiciliées dans le canton de Genève (RFPND),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.13,Règlement fixant le tarif provisoire des prestations fournies par les Hôpitaux universitaires de Genève dans le domaine des soins psychiatriques (régime sans convention) (RTPHUG-SP),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.14,Règlement fixant les tarifs des prestations fournies par les hôpitaux privés non universitaires de Genève dans le domaine des soins somatiques aigus en 2012 (régime sans convention) (RTHP-SSA-2012),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.16,Règlement fixant le tarif-cadre des actes professionnels chiropratiques usuels à la charge de l’assurance obligatoire des soins (RTCAC),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.17,Règlement fixant le tarif provisoire des prestations fournies par les Hôpitaux universitaires de Genève dans le domaine des soins somatiques aigus (régime sans convention) (RTPHUG-SSA),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.18,Règlement fixant la valeur du point des prestations fournies par les physiothérapeutes (RPPhysio),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.19,Règlement fixant les tarifs provisoires des prestations de soins psychiatriques fournies par les établissements hospitaliers selon la structure tarifaire TARPSY (régime sans convention) (RTPEH-TARPSY),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.20,Règlement fixant le tarif-cadre des prestations fournies par l’Institution genevoise de maintien à domicile et Sitex SA en matière de soins aigus et de transition (RTCADom),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.22,"Règlement fixant le tarif-cadre des prestations fournies par les infirmières et infirmiers indépendants de la Coopérative de soins infirmiers (CSI), de la section genevoise de l'Association suisse des infirmières et infirmiers (ASI) et des autres organisations d'aide et de soins à domicile en matière de soins aigus et de transition (RTCISAT)",J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.23,Règlement fixant les montants destinés à déterminer le financement résiduel selon l’article 25a de la loi fédérale sur l’assurance-maladie (RFRLAMal),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.24,Règlement fixant le tarif-cadre des prestations fournies par les logopédistes/orthophonistes à la charge de l’assurance obligatoire des soins (RTCLAO),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.25,Règlement fixant le tarif-cadre provisoire des prestations de réadaptation stationnaire fournies par les établissements hospitaliers non universitaires selon la structure tarifaire ST Reha (régime sans convention) (RTCPEH-STReha),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.26,"Règlement fixant le tarif provisoire des prestations de psychothérapie pratiquées par les psychologues, dans le cadre de l'assurance obligatoire des soins, en l'absence de convention tarifaire, à compter du 1er juillet 2022 (RTPPsy)",J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.28,Règlement fixant le tarif-cadre des prestations fournies par les pharmacies d’hospitalisation à domicile (RTCPHD),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.30,Règlement fixant les tarifs-cadres des prestations de réadaptation stationnaire hospitalières (régime sans convention) (RTCPRSH),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.32,Règlement fixant le tarif-cadre des prestations fournies par les sages-femmes (RTCSF),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.36,Règlement fixant le tarif des conditions relatives à la prise en charge des traitements en cas de dépendance aux opiacés nécessitant la prescription d'héroïne (RTDO),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.50,Règlement d’application de l’ordonnance fédérale sur la fixation de nombres maximaux de médecins qui fournissent des prestations ambulatoires (RaOFNMMPA),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 05.52,Règlement instituant une commission consultative en matière de planification hospitalière (RComPlanH),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 20,Loi d’application de la loi fédérale sur l’assurance-accidents (LaLAA),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 20.03,Règlement concernant la caisse nationale suisse d’assurance en cas d’accidents (RCNA),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 20.06,Règlement fixant le tarif des prestations médicales pour la caisse nationale suisse d’assurance en cas d’accidents (RTMCNA),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 3 25.04,Règlement concernant les prestations aux élèves victimes d’accidents (RPEVA),J,J 3,Assurances contre la maladie et les accidents,Législation sociale
J 4 04,Loi sur l’aide sociale et la lutte contre la précarité (LASLP),J,J 4,Assistance,Législation sociale
J 4 04.01,Règlement d'application de la loi sur l'aide sociale et la lutte contre la précarité (RASLP),J,J 4,Assistance,Législation sociale
J 4 04.04,Règlement instituant une commission consultative de la politique d’asile (RComAsi),J,J 4,Assistance,Législation sociale
J 4 06,Loi sur le revenu déterminant unifié (LRDU),J,J 4,Assistance,Législation sociale
J 4 06.01,Règlement d'exécution de la loi sur le revenu déterminant unifié (RRDU),J,J 4,Assistance,Législation sociale
J 4 07,Loi sur l’Hospice général (LHG),J,J 4,Assistance,Législation sociale
J 4 09.04,Règlement sur l’office de protection de l’adulte (ROPAd),J,J 4,Assistance,Législation sociale
J 4 10,Loi d’application de la loi fédérale sur l’aide aux victimes d’infractions (LaLAVI),J,J 4,Assistance,Législation sociale
J 4 10.01,Règlement d’exécution de la loi d’application de la loi fédérale sur l’aide aux victimes d’infractions (RaLAVI),J,J 4,Assistance,Législation sociale
J 4 11,Loi sur l’aide aux personnes sans abri (LAPSA),J,J 4,Assistance,Législation sociale
J 4 11.01,Règlement d’application de la loi sur l’aide aux personnes sans abri (RAPSA),J,J 4,Assistance,Législation sociale
J 4 12,Loi sur la prévention et la lutte contre le surendettement (LPLS),J,J 4,Assistance,Législation sociale
J 4 12.01,Règlement d'application de la loi sur la prévention et la lutte contre le surendettement (RPLS),J,J 4,Assistance,Législation sociale
J 4 15.04,Règlement sur les collectes (RCollectes),J,J 4,Assistance,Législation sociale
J 4 18,Loi relative à l'office cantonal des assurances sociales (LOCAS),J,J 4,Assistance,Législation sociale
J 4 18.01,Règlement d’exécution de la loi relative à l’office cantonal des assurances sociales (ROCAS),J,J 4,Assistance,Législation sociale
J 4 20,Loi sur les prestations fédérales complémentaires à l’assurance-vieillesse et survivants et à l’assurance-invalidité (LPFC),J,J 4,Assistance,Législation sociale
J 4 20.01,Règlement d’application de la loi sur les prestations fédérales complémentaires à l’assurance-vieillesse et survivants et à l’assurance-invalidité (RPFC),J,J 4,Assistance,Législation sociale
J 4 20.04,Règlement relatif au remboursement des frais de maladie et des frais résultant de l’invalidité en matière de prestations complémentaires à l’assurance-vieillesse et survivants et à l’assurance-invalidité (RFMPC),J,J 4,Assistance,Législation sociale
J 4 25,Loi sur les prestations complémentaires cantonales (LPCC),J,J 4,Assistance,Législation sociale
J 4 25.03,Règlement relatif aux prestations cantonales complémentaires à l’assurance-vieillesse et survivants et à l’assurance-invalidité (RPCC-AVS/AI),J,J 4,Assistance,Législation sociale
J 4 25.04,Règlement relatif aux prestations complémentaires familiales (RPCFam),J,J 4,Assistance,Législation sociale
J 5 03.06,Règlement instituant une commission cantonale de la famille (RComFam),J,J 5,Protection de la famille,Législation sociale
J 5 07,Loi instituant une assurance en cas de maternité et d’adoption (LAMat),J,J 5,Protection de la famille,Législation sociale
J 5 07.01,Règlement d'application de la loi instituant une assurance en cas de maternité et d’adoption (RAMat),J,J 5,Protection de la famille,Législation sociale
J 5 07.03,Règlement du conseil d'administration du fonds cantonal de compensation de l'assurance-maternité (RCAFCAM),J,J 5,Protection de la famille,Législation sociale
J 5 10,Loi sur les allocations familiales (LAF),J,J 5,Protection de la famille,Législation sociale
J 5 10.01,Règlement d’exécution de la loi sur les allocations familiales (RAF),J,J 5,Protection de la famille,Législation sociale
J 5 10.03,Règlement du conseil d'administration du fonds cantonal de compensation des allocations familiales (RCAFAF),J,J 5,Protection de la famille,Législation sociale
J 5 25.04,Règlement instaurant une carte pour familles nombreuses (RCFN),J,J 5,Protection de la famille,Législation sociale
J 6 01,Loi sur l’enfance et la jeunesse (LEJ),J,J 6,Protection de la jeunesse,Législation sociale
J 6 01.01,Règlement d'application de la loi sur l'enfance et la jeunesse (REJ),J,J 6,Protection de la jeunesse,Législation sociale
J 6 11,Loi relative aux centres de loisirs et de rencontres et à la Fondation genevoise pour l’animation socioculturelle (LCLFASe),J,J 6,Protection de la jeunesse,Législation sociale
J 6 15,Loi sur la Fondation officielle de la jeunesse (LFOJ),J,J 6,Protection de la jeunesse,Législation sociale
J 6 25.04,Règlement fixant les indemnités pour les familles d’accueil avec hébergement (RIFAH),J,J 6,Protection de la jeunesse,Législation sociale
J 6 26.04,"Règlement fixant la participation financière des père et mère aux frais de placement, ainsi qu’aux mesures de soutien et de protection du mineur (RPFFPM)",J,J 6,Protection de la jeunesse,Législation sociale
J 6 28,Loi sur l’accueil préscolaire (LAPr),J,J 6,Protection de la jeunesse,Législation sociale
J 6 28.01,Règlement sur l’accueil préscolaire (RAPr),J,J 6,Protection de la jeunesse,Législation sociale
J 6 32,Loi sur l’accueil à journée continue (LAJC),J,J 6,Protection de la jeunesse,Législation sociale
J 6 32.01,Règlement d’application de la loi sur l'accueil à journée continue (RAJC),J,J 6,Protection de la jeunesse,Législation sociale
J 7 20,Loi sur la gestion des établissements pour personnes âgées (LGEPA),J,J 7,Protection de la vieillesse,Législation sociale
J 7 20.01,Règlement d’application de la loi sur la gestion des établissements pour des personnes âgées (RGEPA),J,J 7,Protection de la vieillesse,Législation sociale
J 7 35,Loi concernant les Rentes genevoises – Assurance pour la vieillesse (LRG),J,J 7,Protection de la vieillesse,Législation sociale
J 7 35.01,Règlement d’exécution de la loi concernant les Rentes genevoises – Assurance pour la vieillesse (RRG),J,J 7,Protection de la vieillesse,Législation sociale
K 1 03,Loi sur la santé (LS),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 03.04,Règlement fixant les émoluments perçus par le département chargé de la santé (REmSanté),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 03.07,Règlement relatif à la régulation des équipements médico-techniques lourds (RREML),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 04,Loi sur l’organisation du réseau de soins en vue du maintien à domicile (LORSDom),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 04.01,Règlement d’application de la loi sur l’organisation du réseau de soins en vue du maintien à domicile (RORSDom),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 07,Loi sur l’Institution genevoise de maintien à domicile (LIMAD),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 10,Convention intercantonale en matière de santé numérique (CISN),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 10.0,Loi autorisant le Conseil d’Etat à adhérer à la convention intercantonale en matière de santé numérique (L-CISN),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 15.01,Règlement d’exécution de la loi d’application de la loi fédérale sur la lutte contre les maladies transmissibles de l’homme (loi sur les épidémies) (RaLEpid),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 15.04,Règlement relatif aux frais de désinfection et de désinfestation (RFDD),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 15.08,Règlement concernant les vaccinations obligatoires et facultatives (RVOF),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 15.12,Règlement relatif au remboursement du prix du vaccin (RRV),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 15.16,Règlement relatif au décompte des frais pour les vaccinations publiques et gratuites (RDFVG),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 15.18,Règlement fixant le tarif relatif au remboursement des mammographies de dépistage du cancer du sein (RTRMD),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 15.24,Règlement relatif au contrôle sanitaire des bains publics (RCSBP),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 18,Loi sur l’interdiction de fumer dans les lieux publics (LIF),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 18.01,Règlement d’application relatif à la loi sur l’interdiction de fumer dans les lieux publics (RIF),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 21,Loi sur les transports sanitaires urgents et l’aide sanitaire associée (LTSU),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 21.01,Règlement d'application de la loi sur les transports sanitaires urgents et l'aide sanitaire associée (RTSU),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 21.03,Règlement fixant le tarif relatif au renforcement médical des services d’ambulances effectué par les services mobiles d’urgence et de réanimation de la brigade sanitaire cantonale (RTRSA),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 22,Convention de coopération transfrontalière dans le domaine de la prise en charge des urgences (CTPU),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 22.0,Loi approuvant la convention de coopération transfrontalière dans le domaine de la prise en charge des urgences (L-CTPU),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 36,Loi sur l'intégration des personnes handicapées (LIPH),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 36.01,Règlement d'application de la loi sur l'intégration des personnes handicapées (RIPH),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 37,Convention intercantonale relative aux institutions sociales (CIIS),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 37.0,Loi autorisant le Conseil d’Etat à adhérer à la convention intercantonale relative aux institutions sociales (L-CIIS),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 37.01,Règlement d’exécution de la convention intercantonale relative aux institutions sociales (RaCIIS),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 55.04,"Règlement du Centre universitaire romand de médecine légale, site de Genève (RCURML)",K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 55.08,Règlement sur le sort du cadavre et la sépulture (RSép),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 65,Loi sur les cimetières (LCim),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 65.01,Règlement d’exécution de la loi sur les cimetières (RCim),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70,Loi d’application de la loi fédérale sur la protection de l’environnement (LaLPE),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.03,Règlement du comité interdépartemental de coordination (RCIC),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.04,Règlement du conseil du développement durable (RCDD),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.05,Règlement sur les évaluations environnementales (REE),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.06,Règlement d’application des dispositions fédérales relatives à la protection contre les accidents majeurs et divers dangers pour la population et l’environnement (RaPAM),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.07,Règlement sur la protection contre le rayonnement non ionisant des installations stationnaires (RPRNI),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.08,Règlement sur la protection de l'air (RPAir),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.09,Règlement régissant le dispositif d’urgence en cas de pics de pollution atmosphérique (RPics),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.10,Règlement sur la protection contre le bruit et les vibrations (RPBV),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.11,"Règlement instituant une commission de protection contre les pollutions atmosphériques, sonores et l'électrosmog (RComPASE)",K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.12,Règlement d'application de l'ordonnance fédérale sur la réduction des risques liés aux produits chimiques (RaORRChim),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.13,Règlement sur la protection des sols (RSol),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.14,Règlement sur les substances dangereuses dans l’environnement bâti (RSDEB),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.20,"Règlement sur les émoluments du service de l'air, du bruit et des rayonnements non ionisants en matière de protection de l’air (REmAir)",K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.21,"Règlement sur les émoluments du service de l'air, du bruit et des rayonnements non ionisants en matière de protection contre le bruit, les vibrations et les rayonnements non ionisants (REmBruit)",K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 70.22,"Règlement sur les émoluments du service de l’air, du bruit et des rayonnements non ionisants en matière de toxicologie de l’environnement bâti (REmTox)",K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 71,Loi d'application de la législation fédérale sur les sites contaminés (LaLSC),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 71.03,"Règlement fixant les émoluments pour les prestations du service de géologie, sols et déchets liées à la gestion du cadastre des sites pollués (REmGéol)",K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 1 75.03,Règlement instituant une commission consultative en matière d'addictions (RComAdd),K,K 1,"Police sanitaire, lutte contre les maladies",Santé
K 2 05,Loi sur les établissements publics médicaux (LEPM),K,K 2,Etablissements hospitaliers,Santé
K 2 05.06,Règlement sur les institutions de santé (RISanté),K,K 2,Etablissements hospitaliers,Santé
K 2 09,Convention sur les contributions des cantons aux hôpitaux relative au financement de la formation médicale postgrade et sur la compensation intercantonale des charges (Convention sur le financement de la formation postgrade) (CFFP),K,K 2,Etablissements hospitaliers,Santé
K 2 09.0,Loi autorisant le Conseil d’Etat à adhérer à la convention sur les contributions des cantons aux hôpitaux relative au financement de la formation médicale postgrade et sur la compensation intercantonale des charges (Convention sur le financement de la formation postgrade) (L-CFFP),K,K 2,Etablissements hospitaliers,Santé
K 2 16,Loi concernant la création d’un centre romand de neurochirurgie (LCRN),K,K 2,Etablissements hospitaliers,Santé
K 2 20,Convention intercantonale relative à la coordination et à la concentration de la médecine hautement spécialisée (CIMHS),K,K 2,Etablissements hospitaliers,Santé
K 2 20.0,Loi autorisant le Conseil d’Etat à adhérer à la convention intercantonale relative à la médecine hautement spécialisée (L-CIMHS),K,K 2,Etablissements hospitaliers,Santé
K 3 02.01,Règlement sur les professions de la santé (RPS),K,K 3,Professions médicales et auxiliaires,Santé
K 3 02.03,Règlement sur les pratiques complémentaires (RPrC),K,K 3,Professions médicales et auxiliaires,Santé
K 3 02.05,Règlement sur les techniciens-dentistes (RTD),K,K 3,Professions médicales et auxiliaires,Santé
K 3 03,Loi sur la commission de surveillance des professions de la santé et des droits des patients (LComPS),K,K 3,Professions médicales et auxiliaires,Santé
K 3 03.01,Règlement concernant la constitution et le fonctionnement de la commission de surveillance des professions de la santé et des droits des patients (RComPS),K,K 3,Professions médicales et auxiliaires,Santé
K 3 05.02,Règlement d’application de la loi fédérale sur la procréation médicalement assistée (RaLPMA),K,K 3,Professions médicales et auxiliaires,Santé
K 3 05.16,Règlement fixant les compétences des départements en matière de professions de la santé (RCDPS),K,K 3,Professions médicales et auxiliaires,Santé
K 3 07,Loi sur le réseau communautaire d'informatique médicale (e-Toile) (LRCIM),K,K 3,Professions médicales et auxiliaires,Santé
K 3 07.03,Règlement d'application de la loi sur le réseau communautaire d'informatique médicale (e-Toile) concernant la Fondation IRIS-GENEVE (RFIRIS),K,K 3,Professions médicales et auxiliaires,Santé
K 3 10.03,Règlement sur les activités pouvant mettre en danger la santé (RAMSD),K,K 3,Professions médicales et auxiliaires,Santé
K 4 05.12,Règlement sur les produits thérapeutiques (RPTh),K,K 4,"Médicaments, stupéfiants, produits divers",Santé
K 4 06.02,Règlement d'application de la loi fédérale relative à la recherche sur l'être humain (RaLRH),K,K 4,"Médicaments, stupéfiants, produits divers",Santé
K 4 20.02,Règlement relatif à l’application de la loi fédérale sur les stupéfiants et les substances psychotropes (RaLStup),K,K 4,"Médicaments, stupéfiants, produits divers",Santé
K 4 25.02,Règlement d’exécution de la loi fédérale sur les produits chimiques (RaLChim),K,K 4,"Médicaments, stupéfiants, produits divers",Santé
K 5 02,Loi d’application de la législation fédérale sur les denrées alimentaires et les objets usuels (LaLDAl),K,K 5,Denrées alimentaires,Santé
K 5 02.01,Règlement d'exécution de la loi d’application de la législation fédérale sur les denrées alimentaires et les objets usuels (RaLDAl),K,K 5,Denrées alimentaires,Santé
L 1 05,Loi sur le domaine public (LDPu),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 07,"Loi sur l’arborisation, la végétalisation, la mobilité douce et les transports publics dans l’aire urbaine (LAVMT)",L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 10,Loi sur les routes (LRoutes),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 10.03,Règlement concernant la classification des voies publiques (RCVP),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 10.04,Règlement portant sur l’organisation du réseau routier (RORR),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 10.06,Règlement sur les noms géographiques et l'adressage des bâtiments (RNGAB),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 10.09,"Règlement interdisant les travaux culturaux en dehors des limites des champs qui sont en bordure des artères cantonales, communales ou privées ouvertes au public (RITCLC)",L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 10.12,Règlement concernant l’utilisation du domaine public (RUDP),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 10.15,Règlement fixant le tarif des empiétements sur ou sous le domaine public (RTEDP),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 10.18,"Règlement sur la location de canalisations destinées à la télécommunication, propriété de l'Etat de Genève (RLCan)",L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 11,Loi sur les zones 30 et les zones de rencontre (LZ30),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 15,Loi d’application de la loi fédérale sur les routes nationales (LaLRN),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 16,"Convention intercantonale sur le service intercantonal d’entretien du réseau autoroutier des cantons de Fribourg, de Vaud et de la République et canton de Genève (Convention SIERA) (CSIERA)",L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 16.0,"Loi autorisant le Conseil d’Etat à adhérer à la Convention intercantonale sur le service intercantonal d’entretien du réseau autoroutier des cantons de Fribourg, de Vaud et de la République et canton de Genève (L-CSIERA)",L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 20,Loi sur la gestion des déchets (LGD),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 20.01,Règlement d’application de la loi sur la gestion des déchets (RGD),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 30,Loi d’application de la loi fédérale sur l’aménagement du territoire (LaLAT),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 30.01,Règlement d’application de la loi d’application de la loi fédérale sur l’aménagement du territoire (RaLAT),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 30.04,Règlement d'application de la loi 10788 relative à l'aménagement du quartier « Praille-Acacias-Vernets » (RaPAV),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 35,Loi générale sur les zones de développement (LGZD),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 35.01,Règlement d’application de la loi générale sur les zones de développement (RGZD),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 35.04,Annexe au règlement d’application de la loi générale sur les zones de développement (RGZD2),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 35.06,"Arrêté fixant les rendements admissibles dans les plans financiers des opérations de logement soumis à la loi générale sur les zones de développement, du 29 juin 1957, à la loi générale sur le logement et la protection des locataires, du 4 décembre 1977, ou à la loi pour la construction de logements d'utilité publique, du 24 mai 2007 (ArRPFOL)",L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 40,Loi sur l’extension des voies de communication et l’aménagement des quartiers ou localités (LExt),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 40.01,Règlement d’application de la loi sur l’extension des voies de communication et l’aménagement des quartiers ou localités (RExt),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 45,Loi générale sur les zones de développement industriel ou d’activités mixtes (LZIAM),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 45.05,Règlement sur les zones industrielles et d'activités mixtes (RZIAM),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 45.06,Règlement concernant la cession et le registre des droits à bâtir dans les zones de développement d'activités mixtes (RDABZAM),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 50,Loi sur le remembrement foncier urbain (LRFU),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 55,Loi sur les commissions d’urbanisme et d’architecture (LCUA),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 55.03,Règlement sur les commissions d’urbanisme et d’architecture (RCUA),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 57,Loi sur la fonction d’architecte cantonal (LFAC),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 60,Loi sur l’application de la loi fédérale sur les chemins pour piétons et les chemins de randonnée pédestre (LaLCPR),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 1 60.02,Règlement instituant des mesures d’application de la loi fédérale sur les chemins pour piétons et les chemins de randonnée pédestre (RaLCPR),L,L 1,Voies de communication et urbanisme,Domaine public et travaux
L 2 05,Loi sur les eaux (LEaux-GE),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 05.01,Règlement d’exécution de la loi sur les eaux (REaux-GE),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 05.04,Règlement sur l'utilisation des eaux superficielles et souterraines (RUESS),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 05.21,Règlement relatif aux taxes d’assainissement des eaux (RTAss),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 05.27,Règlement relatif à la renaturation des cours d'eau et des rives (RRCER),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 10,Loi sur l'occupation des eaux publiques (LOEP),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 10.01,Règlement sur l’occupation des eaux publiques (ROEP),L,L 2,Eaux et énergies,Domaine public et travaux
L 2 15,"Acte intercantonal concernant la correction et la régularisation de l’écoulement des eaux du Léman entre les cantons de Genève, de Vaud et du Valais (AICRL)",L,L 2,Eaux et énergies,Domaine public et travaux
L 2 15.0,"Loi approuvant l’acte intercantonal concernant la correction et la régularisation de l’écoulement des eaux du Léman entre les cantons de Genève, de Vaud et du Valais (L-AICRL)",L,L 2,Eaux et énergies,Domaine public et travaux
